winner_name_raw,loser_name_raw,winner_school_raw,loser_school_raw,winner_class_year_raw,loser_class_year_raw,weight_class,victory_type,round_label,round_sort_key,level,event_name,event_series_name,event_type,event_id_external,date_start_raw,date_end_raw,occurred_at,source_match_id,extraction_confidence,score,time_seconds
Jesse Mendez,David McClelland,Ohio State,Clarion,So.,Fr.,141,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787251132,1.0,21-6,158
David McClelland,San Ewing,Clarion,Buffalo,Fr.,Fr.,141,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787379132,1.0,,154
Clayton  Jones,Shermuhammad Sadriddinov,Michigan State,Clarion,Fr.,So.,149,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787199132,1.0,,89
Kyle Schickel,Tyler Badgett,Clarion,Pittsburgh,Jr.,Sr.,149,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787396132,1.0,10-3,
Brady Worthing,Steffan Lynch,Clarion,Edinboro,Sr.,Fr.,149,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787211132,1.0,14-5,
Trey Kruse,Shermuhammad Sadriddinov,Purdue,Clarion,Sr.,So.,149,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47786996132,1.0,12-0,
Kyle Schickel,Kaden Setzer,Clarion,Kent State,Jr.,So.,149,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787002132,1.0,11-3,
Kyle Schickel,Joseph Giordano,Clarion,Gardner-Webb,Jr.,Fr.,149,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787088132,1.0,13-1,
Kaleb Burgess,Kyle Schickel,Buffalo,Clarion,RS So.,Jr.,149,Sudden Victory - 1,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787282132,1.0,4-1,
Nick Stampoulos,Kyle Schickel,Buffalo,Clarion,RS Fr.,Jr.,149,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787488132,1.0,11-7,
Brady Worthing,Kale Buckiso,Clarion,John Carroll,Sr.,Jr.,149,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787008132,1.0,7-3,
Carter Gill,Brady Worthing,Buffalo,Clarion,RS Fr.,Sr.,149,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787079132,1.0,12-6,
Brady Worthing,Jack Marlow,Clarion,Pittsburgh,Sr.,Jr.,149,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787284132,1.0,,300
Kelin Laffey,Brady Worthing,Pittsburgh,Clarion,So.,Sr.,149,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787398132,1.0,5-1,
Tyler Brignola,Lavinsky Collins,Gardner-Webb,Clarion,Jr.,RS So.,157,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787104132,1.0,15-14,
Drew Pepin,Lavinsky Collins,Gardner-Webb,Clarion,Fr.,RS So.,157,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787405132,1.0,,157
Ethan  Barr,John Altieri,Kent State,Clarion,So.,Jr.,157,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787111132,1.0,9-3,
Lavinsky Collins,Patrick McGraw,Clarion,John Carroll,RS So.,Sr.,157,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787028132,1.0,11-3,
Lavinsky Collins,Stephen O&apos;Neil Jr,Clarion,Ohio State,RS So.,Fr.,157,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787220132,1.0,22-9,
Lavinsky Collins,Gavyn Beck,Clarion,Pitt-Johnstown,RS So.,Fr.,157,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787303132,1.0,19-4,297
John Altieri,Jack  Conley,Clarion,Michigan State,Jr.,Fr.,157,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787021132,1.0,9-7,
Alejandro Herrera-Rondon,David  Berkovich,Clarion,Columbia,Jr.,RS Sr.,157,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787118132,1.0,16-1,297
Alejandro Herrera-Rondon,Tyler Barrett,Clarion,Columbia,Jr.,Fr.,157,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787296132,1.0,14-3,
Alejandro Herrera-Rondon,Dillon Carlson,Clarion,Kent State,Jr.,So.,157,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787486132,1.0,5-2,
Alejandro Herrera-Rondon,Jared Keslar,Clarion,Pittsburgh,Jr.,So.,157,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787578132,1.0,2-0,
Paddy Gallagher,Alejandro Herrera-Rondon,Ohio State,Clarion,Jr.,Jr.,157,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787617132,1.0,11-1,
Roberto Padilla,Wesley Barnes,Unrostered-Spartan Combat RTC,Clarion,,Fr.,165,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787134132,1.0,4-2,
Trevor Elfvin,Dominic  Frontino,Clarion,Brown,RS Jr.,Fr.,165,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787409132,1.0,6-1,
Trevor Elfvin,Kaeden Berger,Clarion,Clarion,RS Jr.,Jr.,165,Default,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787510132,1.0,,
Eli Brinsky,Brady Unger,Clarion,Buffalo,Sr.,Fr.,165,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787300132,1.0,,404
Joshua Ogunsanya,Eli Brinsky,Columbia,Clarion,Sr.,Sr.,165,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787497132,1.0,17-5,
Trevor Elfvin,Eli Brinsky,Clarion,Clarion,RS Jr.,Sr.,165,Sudden Victory - 1,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787556132,1.0,4-1,
Keegan Rothrock,Wesley Barnes,Brown,Clarion,Jr.,Fr.,165,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787314132,1.0,8-2,
Trevor Elfvin,Miles Bassett,Clarion,Bucknell,RS Jr.,Sr.,165,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787127132,1.0,,22
Stoney Buell,Trevor Elfvin,Purdue,Clarion,RS So.,RS Jr.,165,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787304132,1.0,13-0,
Cooper Noehre,Trevor Elfvin,Purdue,Clarion,Sr.,RS Jr.,165,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787598132,1.0,12-2,
Eli Brinsky,Hunter  Andel,Clarion,Kent State,Sr.,Fr.,165,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787122132,1.0,9-0,
Marcus Petite,Kaeden Berger,Buffalo,Clarion,RS So.,Jr.,165,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787131132,1.0,6-0,
Kaeden Berger,Joseph Arnold,Clarion,Edinboro,Jr.,Jr.,165,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787316132,1.0,2-1,
Kaeden Berger,Aaron Ferguson,Clarion,Kent State,Jr.,Jr.,165,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787418132,1.0,,254
Orlando Cruz,Casper Hinklie,Purdue,Clarion,Fr.,Sr.,174,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787505132,1.0,,380
Ayden Miller,Trysten Zahoransky,Clarion,John Carroll,Jr.,Jr.,174,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787151132,1.0,6-1,
Jonathan Conrad,Ayden Miller,Brown,Clarion,So.,Jr.,174,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787319132,1.0,,417
Chase Cordia,Ashton Breen,Clarion,Kent State,So.,Jr.,174,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787121132,1.0,,35
Brody Baumann,Solomon Dubler,Purdue,Clarion,RS Fr.,So.,174,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787429132,1.0,6-3,
Dylan Schell,Deegan Ross,Buffalo,Clarion,RS Fr.,Fr.,174,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787324132,1.0,22-6,340
John Worthing,Gabriel Stafford,Clarion,Edinboro,RS Jr.,Fr.,174,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787144132,1.0,14-2,
John Worthing,Myles Takats,Clarion,Bucknell,RS Jr.,Fr.,174,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787328132,1.0,,330
John Worthing,Dylan Schell,Clarion,Buffalo,RS Jr.,RS Fr.,174,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787503132,1.0,8-0,
Rocco Welsh,John Worthing,Ohio State,Clarion,Fr.,RS Jr.,174,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787590132,1.0,5-2,
John Worthing,Carson  Kharchla,Clarion,Ohio State,RS Jr.,RS Sr.,174,Forfeit,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787616132,1.0,,
Simon Ruiz,Casper Hinklie,Unrostered-Spartan Combat RTC,Clarion,,Sr.,174,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787132132,1.0,15-0,199
Kyle Mosher,Ayden Miller,Columbia,Clarion,RS Sr.,Jr.,174,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787422132,1.0,,56
Carson  Kharchla,Chase Cordia,Ohio State,Clarion,RS Sr.,So.,174,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787317132,1.0,21-5,312
Chase Cordia,Holden Martin,Clarion,Kent State,So.,Fr.,174,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787425132,1.0,,122
Kyle Mosher,Chase Cordia,Columbia,Clarion,RS Sr.,So.,174,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787499132,1.0,,102
Sammy Starr,Solomon Dubler,Navy,Clarion,Jr.,So.,174,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787141132,1.0,7-2,
Deegan Ross,Kyle Mosher,Clarion,Columbia,Fr.,RS Sr.,174,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787126132,1.0,,155
DJ Shannon,Deegan Ross,Michigan State,Clarion,RS Sr.,Fr.,174,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787426132,1.0,14-9,
Patrick Cutchember,Hayden Filipovich,Clarion,Purdue,So.,RS So.,184,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787146132,1.0,8-5,
Patrick Cutchember,Kyle Snider,Clarion,Kent State,So.,Fr.,184,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787334132,1.0,6-5,
Jack McGill,Dustin Gue,Columbia,Clarion,Jr.,Fr.,184,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787345132,1.0,18-3,274
Jesse Kanatzar,Seth Ross,John Carroll,Clarion,Jr.,Fr.,184,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787148132,1.0,12-2,
Seth Ross,Brixan Burgess,Clarion,Gardner-Webb,Fr.,Fr.,184,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787343132,1.0,,388
Luke  Vanadia,Seth Ross,Michigan State,Clarion,Fr.,Fr.,184,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787434132,1.0,25-8,225
Reece Heller,Cameron Pine,Pittsburgh,Clarion,RS Jr.,RS Sr.,184,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787619132,1.0,19-3,371
Luke  Vanadia,Patrick Cutchember,Michigan State,Clarion,Fr.,So.,184,Medical Forfeit,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787520132,1.0,,
Chase Kranitz,Dustin Gue,Buffalo,Clarion,RS Fr.,Fr.,184,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787168132,1.0,17-2,200
Adrian Gacek,Hunter Hutcheson,Clarion,Edinboro,Fr.,Fr.,184,Sudden Victory - 1,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787157132,1.0,4-1,
Seth Shumate,Adrian Gacek,Ohio State,Clarion,So.,Fr.,184,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787337132,1.0,11-1,
Drew Clearie,Adrian Gacek,Unrostered,Clarion,,Fr.,184,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787428132,1.0,9-4,
Cameron Pine,Joseph Curtis,Clarion,Columbia,RS Sr.,Fr.,184,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787153132,1.0,,45
Cameron Pine,Luke  Vanadia,Clarion,Michigan State,RS Sr.,Fr.,184,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787339132,1.0,18-3,375
Cameron Pine,Daniel Williams,Clarion,Navy,RS Sr.,Fr.,184,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787513132,1.0,9-1,
Cameron Pine,James Rowley,Clarion,Purdue,RS Sr.,RS Fr.,184,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787594132,1.0,5-2,
Kael Wisler,Brett Wittmann,Michigan State,Clarion,So.,RS Fr.,197,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787518132,1.0,9-2,
Ethan Wiant,Miles Ashbaugh,Clarion,Kent State,Sr.,RS Jr.,197,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787182132,1.0,7-0,
Jake Lucas,Connor Jacobs,Navy,Clarion,So.,Fr.,197,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787354132,1.0,18-2,488
Nicholas Lodato,Connor Jacobs,Edinboro,Clarion,RS So.,Fr.,197,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787521132,1.0,2-0,
Brett Wittmann,Abraham Keep,Clarion,Edinboro,RS Fr.,Fr.,197,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787163132,1.0,14-3,
Remy Cotton,Brett Wittmann,Michigan State,Clarion,Fr.,RS Fr.,197,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787349132,1.0,19-3,365
Brett Wittmann,Issac Schmidt,Clarion,Columbia,RS Fr.,So.,197,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787449132,1.0,8-2,
Lucas Daly,Ethan Wiant,Michigan State,Clarion,Jr.,Sr.,197,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787361132,1.0,7-4,
Adam Haselius,Ethan Wiant,Columbia,Clarion,Fr.,Sr.,197,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787436132,1.0,11-1,
Connor Jacobs,Trent Thomas,Clarion,Kent State,Fr.,Fr.,197,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787171132,1.0,,395
Connor Jacobs,Lear Quinton,Clarion,Brown,Fr.,Sr.,197,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787445132,1.0,7-4,
John Meyers,Brentan Simmerman,Clarion,Kent State,Sr.,Fr.,285,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787187132,1.0,8-3,
John Meyers,James Campbell,Clarion,Michigan State,Sr.,So.,285,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787370132,1.0,18-6,
John Meyers,Nolan Neves,Clarion,Columbia,Sr.,Fr.,285,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787528132,1.0,,369
Nick Feldman,John Meyers,Ohio State,Clarion,So.,Sr.,285,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787621132,1.0,7-1,
John Meyers,Dorian Crosby,Clarion,Bucknell,Sr.,Sr.,285,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787602132,1.0,5-3,
Casper Hinklie,Logan Messer,Clarion,George Mason,Sr.,RS So.,174,Medical Forfeit,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787414132,1.0,,
Isaac Ruble,John Altieri,Purdue,Clarion,RS Fr.,Jr.,157,Medical FF w/Loss,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787254132,1.0,,
Reece Heller,Patrick Cutchember,Pittsburgh,Clarion,RS Jr.,So.,184,Medical FF w/Loss,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787493132,1.0,,
Jack Martinec,Ashton Anderson,Clarion,Findlay,So.,Jr.,141,Decision,Champ. Round 1,1.0,,Michigan State Open,Michigan State Open,tournament,7433245132,20231111,20231111,1699660800000,47863808132,1.0,11-5,
Dylan Gvillo,Jack Martinec,Northern Illinois,Clarion,So.,So.,141,Major Decision,Cons. Round 2,25.0,,Michigan State Open,Michigan State Open,tournament,7433245132,20231111,20231111,1699660800000,47923077132,1.0,11-2,
Sergio  Lemley,Jack Martinec,Michigan,Clarion,Fr.,So.,141,Technical Fall,Quarterfinals,21.0,,Michigan State Open,Michigan State Open,tournament,7433245132,20231111,20231111,1699660800000,47903460132,1.0,19-4,269
Jack Maida,Joey Fischer,American,Clarion,Jr.,Jr.,125,Decision,,,Varsity,vs. American,Mason Duals,tournament,7429107132,202311111200,202311111200,1699704000000,47271563132,1.0,4-1,
Maximilian Leete,Scott Johnson,American,Clarion,Jr.,Fr.,133,Fall,,,Varsity,vs. American,Mason Duals,tournament,7429107132,202311111200,202311111200,1699704000000,47271564132,1.0,,294
Cael McIntyre,David McClelland,American,Clarion,Fr.,Fr.,141,Decision,,,Varsity,vs. American,Mason Duals,tournament,7429107132,202311111200,202311111200,1699704000000,47271565132,1.0,5-3,
Kyle Schickel,Ryan Zimmerman,Clarion,American,Jr.,RS Jr.,149,Fall,,,Varsity,vs. American,Mason Duals,tournament,7429107132,202311111200,202311111200,1699704000000,47271566132,1.0,,236
Alejandro Herrera-Rondon,Kaden Milheim,Clarion,American,Jr.,Fr.,157,Technical Fall,,,Varsity,vs. American,Mason Duals,tournament,7429107132,202311111200,202311111200,1699704000000,47271567132,1.0,15-0,192
Eli Brinsky,Breon Phifer,Clarion,American,Sr.,Jr.,165,Major Decision,,,Varsity,vs. American,Mason Duals,tournament,7429107132,202311111200,202311111200,1699704000000,47271568132,1.0,16-2,
John Worthing,Lucas White,Clarion,American,RS Jr.,RS So.,174,Decision,,,Varsity,vs. American,Mason Duals,tournament,7429107132,202311111200,202311111200,1699704000000,47271569132,1.0,4-0,
Connor Bourne,Cameron Pine,American,Clarion,RS Fr.,RS Sr.,184,Decision,,,Varsity,vs. American,Mason Duals,tournament,7429107132,202311111200,202311111200,1699704000000,47271570132,1.0,4-3,
Carsten Rawls,Ethan Wiant,American,Clarion,Jr.,Sr.,197,Decision,,,Varsity,vs. American,Mason Duals,tournament,7429107132,202311111200,202311111200,1699704000000,47271571132,1.0,4-1,
William Jarrell,John Meyers,American,Clarion,RS Fr.,Sr.,285,Decision,,,Varsity,vs. American,Mason Duals,tournament,7429107132,202311111200,202311111200,1699704000000,47271572132,1.0,4-1,
Ben Monn,Joey Fischer,George Mason,Clarion,RS So.,Jr.,125,Tie Breaker - 1,,,,vs. George Mason,Mason Duals,tournament,7429366132,202311111330,202311111330,1699709400000,47275489132,1.0,2-1,
Shawn Nonaka,Scott Johnson,George Mason,Clarion,RS Jr.,Fr.,133,Tie Breaker - 1,,,,vs. George Mason,Mason Duals,tournament,7429366132,202311111330,202311111330,1699709400000,47275490132,1.0,2-1,
