winner_name_raw,loser_name_raw,winner_school_raw,loser_school_raw,winner_class_year_raw,loser_class_year_raw,weight_class,victory_type,round_label,round_sort_key,level,event_name,event_series_name,event_type,event_id_external,date_start_raw,date_end_raw,occurred_at,source_match_id,extraction_confidence,score,time_seconds
Greg Diakomihalis,Joey Fischer,Cornell,Clarion,Jr.,Jr.,125,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787537132,1.0,5-2,
Joey Fischer,Adan Benavidez,Clarion,Kent State,Jr.,Fr.,125,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787040132,1.0,13-1,
Joey Fischer,Hayden Benter,Clarion,Navy,Jr.,Fr.,125,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787236132,1.0,11-2,
Nick Babin,Joey Fischer,Columbia,Clarion,Sr.,Jr.,125,Tie Breaker - 2 (Riding Time),,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787455132,1.0,8-4,
Hayden Cunningham,TJ England,Unrostered,Clarion,,Sr.,133,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787048132,1.0,17-1,311
TJ England,Ryan Aquilani,Clarion,Kent State,Sr.,So.,133,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787380132,1.0,6-2,
Jacob Brenneman,Clayton Bashor,Edinboro,Clarion,Fr.,Jr.,133,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787059132,1.0,17-1,267
Clayton Bashor,Garrett Totten,Clarion,Navy,Jr.,Fr.,133,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787252132,1.0,5-3,
Boris Witmer,Clayton Bashor,Unrostered- NYCRTC,Clarion,,Jr.,133,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787378132,1.0,15-0,110
Scott Johnson,Matt Englehardt,Clarion,West Liberty,Fr.,So.,133,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787050132,1.0,19-4,355
Scott Johnson,Ty Daugherty,Clarion,John Carroll,Fr.,So.,133,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787247132,1.0,8-1,
Jacob Brenneman,TJ England,Edinboro,Clarion,Fr.,Sr.,133,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787466132,1.0,10-7,
Bo Bassett,Scott Johnson,Unrostered,Clarion,,Fr.,133,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787456132,1.0,22-7,206
Scott Johnson,Boris Witmer,Clarion,Unrostered- NYCRTC,Fr.,,133,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787547132,1.0,10-8,
Pablo Castro,Scott Johnson,Kent State,Clarion,So.,Fr.,133,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787580132,1.0,12-5,
Dakota King,Easton Toth,Unrostered,Clarion,,So.,141,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787389132,1.0,19-4,321
Tye Varndell,Jack Martinec,Clarion,Clarion,RS Fr.,So.,141,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787194132,1.0,10-1,
David McClelland,Cameron Soda,Clarion,Edinboro,Fr.,Jr.,141,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787062132,1.0,,382
Greyson Clark,David McClelland,Purdue,Clarion,Fr.,Fr.,141,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787470132,1.0,15-0,146
Briar Priest,Jack Martinec,Pittsburgh,Clarion,So.,So.,141,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787067132,1.0,18-1,289
Brandon Cannon,Easton Toth,Ohio State,Clarion,Fr.,So.,141,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787073132,1.0,,168
Easton Toth,Yanni Vines,Clarion,Columbia,So.,So.,141,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787262132,1.0,11-5,
Dominic DiTullio,Tye Varndell,Gardner-Webb,Clarion,Jr.,RS Fr.,141,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47786983132,1.0,5-4,
Frank Antonelli,Tye Varndell,Navy,Clarion,So.,RS Fr.,141,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,7429368132,20231105,20231105,1699142400000,47787266132,1.0,,272
