winner_name_raw,loser_name_raw,winner_school_raw,loser_school_raw,winner_class_year_raw,loser_class_year_raw,weight_class,victory_type,round_label,round_sort_key,level,event_name,event_series_name,event_type,event_id_external,date_start_raw,date_end_raw,occurred_at,source_match_id,extraction_confidence,score,time_seconds
Jeffrey Jacome,Logan Mazzeo,Gardner-Webb,Clarion,Fr.,Jr.,125,Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431534132,1.0,5-3,
Kadd Orr,Logan Mazzeo,Kent State,Clarion,So.,Jr.,125,Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431717132,1.0,3-2,
Koen Kish,Ryan Aquilani,Clarion,Kent State,So.,Fr.,133,Major Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431533132,1.0,12-2,
Brendan Ferretti,Mason Prinkey,Navy,Clarion,Fr.,So.,133,Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431616132,1.0,6-1,
Clayton Bashor,Nicky Cabanillas,Clarion,Brown,So.,Sr.,133,Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431617132,1.0,8-3,
Thomas Maddox,Jack Martinec,Buffalo,Clarion,RS Jr.,Fr.,133,Major Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431607132,1.0,8-0,
Dominic DiTullio,Jack Martinec,Gardner-Webb,Clarion,So.,Fr.,133,Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431770132,1.0,6-2,
Cole French,Hunter Verge,Buffalo,Clarion,So.,Jr.,133,Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431614132,1.0,5-0,
Ryan Aquilani,Hunter Verge,Kent State,Clarion,Fr.,Jr.,133,Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431706132,1.0,10-4,
Hunter   Adrian,Koen Kish,Brown,Clarion,So.,So.,133,Major Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431611132,1.0,17-7,
Kurtis Phipps,Koen Kish,Bucknell,Clarion,Jr.,So.,133,Major Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431760132,1.0,9-1,
Kurtis Phipps,Mason Prinkey,Bucknell,Clarion,Jr.,So.,133,Major Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431705132,1.0,11-1,
Jack Martinec,Ethan Qureshi,Clarion,Unrostered-Spartan Combat RTC,Fr.,,133,Major Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431532132,1.0,12-2,
Hunter   Adrian,Clayton Bashor,Brown,Clarion,So.,So.,133,Fall,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431916132,1.0,,146
Jacob Macatangay,Clayton Bashor,Purdue,Clarion,Fr.,So.,133,Fall,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431859132,1.0,,95
Clayton Bashor,Landen  Hacker,Clarion,Kent State,So.,RS Fr.,133,Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431765132,1.0,7-1,
Christian White,Nathan Burnett,Purdue,Clarion,So.,Fr.,141,Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431628132,1.0,5-4,
Seth Koleno,Trevor Nugent,Clarion,Bucknell,Sr.,So.,141,Major Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431539132,1.0,14-3,
Seth Koleno,Alex Blake,Clarion,Clarion,Sr.,Jr.,141,Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431619132,1.0,11-6,
Seth Koleno,Justin Bierdumpfel,Clarion,Brown,Sr.,Jr.,141,Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431771132,1.0,8-4,
Josh Koderhandt,Seth Koleno,Navy,Clarion,So.,Sr.,141,Major Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431863132,1.0,17-5,
Seth Koleno,Dylan Chappell,Clarion,Bucknell,Sr.,So.,141,Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431927132,1.0,7-3,
Alex Blake,Mason Lynch,Clarion,Kent State,Jr.,So.,141,Decision,,,Varsity,Clarion Open 2022,Clarion Open 2022,tournament,6696408132,20221106,20221106,1667692800000,33431545132,1.0,3-1,
