team_name,state,team_id,season_id,event_id,tournament_id,source_tournament,event_matches_url_without_session
Oklahoma State,OK,758892150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758892150
Oregon State,OR,758895150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758895150
Penn,PA,758899150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758899150
Penn State,PA,758898150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758898150
Pittsburgh,PA,758900150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758900150
Princeton,NJ,758903150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758903150
Purdue,IN,758904150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758904150
Rider,NJ,758906150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758906150
Rutgers,NJ,758909150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758909150
SIU Edwardsville,IL,758918150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758918150
South Dakota State,SD,758917150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758917150
