team_name,state,team_id
Air Force,CO,1434509147
American,DC,1434512147
Appalachian State,NC,1434514147
Arizona State,AZ,1434516147
Army West Point,NY,1434517147
Bellarmine,KY,1434494147
Binghamton,NY,1434524147
Bloomsburg,PA,1434525147
Brown,RI,1434528147
Bucknell,PA,1434529147
Buffalo,NY,1434531147
Cal Poly,CA,1434532147
California Baptist,CA,1434533147
Campbell,NC,1434534147
Central Michigan,MI,1434538147
Chattanooga,TN,1434542147
Columbia,NY,1434552147
Cornell,NY,1434555147
CSU Bakersfield,CA,1434557147
Davidson,NC,1434558147
Drexel,PA,1434560147
Duke,NC,1434562147
Edinboro,PA,1434564147
Franklin & Marshall,PA,1434570147
Gardner-Webb,NC,1434572147
George Mason,VA,1434573147
Harvard,MA,1434575147
Hofstra,NY,1434577147
Illinois,IL,1434579147
Indiana,IN,1434580147
Iowa,IA,1434582147
Iowa State,IA,1434583147
Kent State,OH,1434588147
Lehigh,PA,1434594147
Little Rock,AR,1434507147
Lock Haven,PA,1434597147
Maryland,MD,1434603147
Michigan,MI,1434610147
Michigan State,MI,1434611147
Minnesota,MN,1434614147
Missouri,MO,1434618147
Morgan State,MD,1434756147
Navy,MD,1434623147
NC State,NC,1434632147
Nebraska,NE,1434625147
North Carolina,NC,1434631147
North Dakota State,ND,1434635147
Northern Colorado,CO,1434636147
Northern Illinois,IL,1434637147
Northern Iowa,IA,1434638147
Northwestern,IL,1434640147
Ohio,OH,1434643147
Ohio State,OH,1434645147
Oklahoma,OK,1434646147
Oklahoma State,OK,1434647147
Oregon State,OR,1434650147
Penn State,PA,1434653147
Pittsburgh,PA,1434655147
Princeton,NJ,1434658147
Purdue,IN,1434659147
Rider,NJ,1434661147
Rutgers,NJ,1434664147
SIU Edwardsville,IL,1434672147
South Dakota State,SD,1434671147
Stanford,CA,1434678147
The Citadel,SC,1434682147
Utah Valley,UT,1434690147
Virginia,VA,1434691147
Virginia Tech,VA,1434692147
VMI,VA,1434693147
West Virginia,WV,1434701147
Wyoming,WY,1434717147
Wisconsin,WI,1434708147
Penn,PA,1434654147
