"source_index","record_type","primary_id","event_id","dual_id","format_code","format_label","start_date","end_date","event_name","location_state","tournament_system","tournament_id","winner_side","winner_team_id","winner_team_name","team_1_id","team_1_name","team_1_state","team_1_score","team_2_id","team_2_name","team_2_state","team_2_score","season_id","results_url_template"
"26","tournament_event","6698282132","6698282132","","I","individual","2023-02-25","2023-02-25","Zingo Nationals National Collegiate open","NJ","O","711807132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6698282132&teamId={TEAM_ID}"
"27","standalone_dual","6695370132","","6695370132","","standalone_dual","2023-02-25","2023-02-25","Oregon State vs Stanford","OR","","","1","971498143","Oregon State","971498143","Oregon State","OR","30","971527143","Stanford","CA","3","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6695370132&teamId={TEAM_ID}"
"28","standalone_dual","6711460132","","6711460132","","standalone_dual","2023-02-23","2023-02-23","Bellarmine vs Presbyterian College","KY","","","1","971336143","Bellarmine","971336143","Bellarmine","KY","22","971576143","Presbyterian College","SC","20","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6711460132&teamId={TEAM_ID}"
"29","standalone_dual","6696762132","","6696762132","","standalone_dual","2023-02-19","2023-02-19","Lock Haven vs West Virginia","PA","","","2","971550143","West Virginia","971443143","Lock Haven","PA","9","971550143","West Virginia","WV","34","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6696762132&teamId={TEAM_ID}"
"30","standalone_dual","6698599132","","6698599132","","standalone_dual","2023-02-19","2023-02-19","Pennsylvania vs American","PA","","","1","971502143","Pennsylvania","971502143","Pennsylvania","PA","25","971357143","American","DC","9","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6698599132&teamId={TEAM_ID}"
"31","standalone_dual","6700493132","","6700493132","","standalone_dual","2023-02-19","2023-02-19","Iowa vs Oklahoma State","IA","","","1","971428143","Iowa","971428143","Iowa","IA","28","971494143","Oklahoma State","OK","7","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6700493132&teamId={TEAM_ID}"
"32","standalone_dual","6696428132","","6696428132","","standalone_dual","2023-02-19","2023-02-19","Penn State vs Clarion","PA","","","1","971501143","Penn State","971501143","Penn State","PA","40","971389143","Clarion","PA","6","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6696428132&teamId={TEAM_ID}"
"33","standalone_dual","6697966132","","6697966132","","standalone_dual","2023-02-19","2023-02-19","Michigan vs Central Michigan","MI","","","1","971456143","Michigan","971456143","Michigan","MI","30","971383143","Central Michigan","MI","9","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6697966132&teamId={TEAM_ID}"
"34","standalone_dual","6700518132","","6700518132","","standalone_dual","2023-02-19","2023-02-19","Drexel vs American","PA","","","2","971357143","American","971406143","Drexel","PA","17","971357143","American","DC","19","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6700518132&teamId={TEAM_ID}"
"35","standalone_dual","6696101132","","6696101132","","standalone_dual","2023-02-19","2023-02-19","Columbia vs Maryland","NY","","","1","971398143","Columbia","971398143","Columbia","NY","18","971449143","Maryland","MD","16","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6696101132&teamId={TEAM_ID}"
"36","standalone_dual","6700574132","","6700574132","","standalone_dual","2023-02-19","2023-02-19","Chattanooga vs Indiana","TN","","","2","971426143","Indiana","971387143","Chattanooga","TN","3","971426143","Indiana","IN","32","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6700574132&teamId={TEAM_ID}"
"37","standalone_dual","6696107132","","6696107132","","standalone_dual","2023-02-19","2023-02-19","Nebraska vs Arizona State","NE","","","1","971471143","Nebraska","971471143","Nebraska","NE","25","971361143","Arizona State","AZ","15","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6696107132&teamId={TEAM_ID}"
"38","standalone_dual","6708036132","","6708036132","","standalone_dual","2023-02-19","2023-02-19","Appalachian State vs Campbell","NC","","","1","971359143","Appalachian State","971359143","Appalachian State","NC","22","971379143","Campbell","NC","14","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6708036132&teamId={TEAM_ID}"
"39","standalone_dual","6708037132","","6708037132","","standalone_dual","2023-02-19","2023-02-19","Appalachian State vs Presbyterian College","NC","","","1","971359143","Appalachian State","971359143","Appalachian State","NC","43","971576143","Presbyterian College","SC","0","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6708037132&teamId={TEAM_ID}"
"40","standalone_dual","6708038132","","6708038132","","standalone_dual","2023-02-19","2023-02-19","Appalachian State vs Davidson","NC","","","1","971359143","Appalachian State","971359143","Appalachian State","NC","47","971404143","Davidson","NC","0","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6708038132&teamId={TEAM_ID}"
"41","standalone_dual","6695369132","","6695369132","","standalone_dual","2023-02-19","2023-02-19","Cal Poly vs Oregon State","CA","","","1","971377143","Cal Poly","971377143","Cal Poly","CA","19","971498143","Oregon State","OR","15","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6695369132&teamId={TEAM_ID}"
"42","standalone_dual","6716651132","","6716651132","","standalone_dual","2023-02-19","2023-02-19","Army West Point vs Navy","NY","","","2","971469143","Navy","971362143","Army West Point","NY","13","971469143","Navy","MD","18","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6716651132&teamId={TEAM_ID}"
"43","standalone_dual","6695185132","","6695185132","","standalone_dual","2023-02-19","2023-02-19","Northern Colorado vs Air Force","CO","","","1","971482143","Northern Colorado","971482143","Northern Colorado","CO","37","971351143","Air Force","CO","9","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6695185132&teamId={TEAM_ID}"
"44","standalone_dual","6711444132","","6711444132","","standalone_dual","2023-02-19","2023-02-19","North Dakota State vs South Dakota State","ND","","","2","971519143","South Dakota State","971481143","North Dakota State","ND","17","971519143","South Dakota State","SD","19","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6711444132&teamId={TEAM_ID}"
"45","standalone_dual","6698816132","","6698816132","","standalone_dual","2023-02-19","2023-02-19","Sacred Heart vs Brown","CT","","","2","971373143","Brown","971513143","Sacred Heart","CT","12","971373143","Brown","RI","31","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6698816132&teamId={TEAM_ID}"
"46","standalone_dual","6695769132","","6695769132","","standalone_dual","2023-02-19","2023-02-19","SIU Edwardsville vs Northern Illinois","IL","","","2","971483143","Northern Illinois","971520143","SIU Edwardsville","IL","12","971483143","Northern Illinois","IL","25","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6695769132&teamId={TEAM_ID}"
"47","tournament_event","6695070132","6695070132","","I","individual","2023-02-19","2023-02-19","Dubuque Invite ","IA","O","720298132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6695070132&teamId={TEAM_ID}"
"48","tournament_event","6700192132","6700192132","","I","individual","2023-02-19","2023-02-19","SE Futures Championship by VBR Sports","VA","O","684861132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6700192132&teamId={TEAM_ID}"
"49","tournament_event","6972281132","6972281132","","I","individual","2023-02-19","2023-02-19","NEWA Futures","MA","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6972281132&teamId={TEAM_ID}"
"50","tournament_event","6696537132","6696537132","","I","individual","2023-02-19","2023-02-19","Last Chance Open","IA","O","689091132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6696537132&teamId={TEAM_ID}"
"51","tournament_event","6698245132","6698245132","","I","individual","2023-02-19","2023-02-19","National Guard Mideast Futures","PA","O","724502132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6698245132&teamId={TEAM_ID}"
"52","standalone_dual","6697817132","","6697817132","","standalone_dual","2023-02-18","2023-02-18","Rider vs Cleveland State","NJ","","","1","971509143","Rider","971509143","Rider","NJ","25","971390143","Cleveland State","OH","9","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6697817132&teamId={TEAM_ID}"
"53","standalone_dual","6697818132","","6697818132","","standalone_dual","2023-02-18","2023-02-18","Rider vs Drexel","NJ","","","1","971509143","Rider","971509143","Rider","NJ","26","971406143","Drexel","PA","12","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6697818132&teamId={TEAM_ID}"
"54","standalone_dual","6698815132","","6698815132","","standalone_dual","2023-02-18","2023-02-18","Sacred Heart vs LIU","CT","","","2","971570143","LIU","971513143","Sacred Heart","CT","9","971570143","LIU","NY","32","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6698815132&teamId={TEAM_ID}"
"55","standalone_dual","6704008132","","6704008132","","standalone_dual","2023-02-18","2023-02-18","Wisconsin vs Northern Iowa","WI","","","1","971556143","Wisconsin","971556143","Wisconsin","WI","23","971484143","Northern Iowa","IA","17","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6704008132&teamId={TEAM_ID}"
"56","tournament_event","6696487132","6696487132","","D","dual_tournament","2023-02-18","2023-02-18","NYU Tri Meet ","NY","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6696487132&teamId={TEAM_ID}"
"57","standalone_dual","6707397132","","6707397132","","standalone_dual","2023-02-18","2023-02-18","VMI vs Queens","VA","","","1","971542143","VMI","971542143","VMI","VA","38","971599143","Queens","NC","3","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6707397132&teamId={TEAM_ID}"
"58","standalone_dual","6695150132","","6695150132","","standalone_dual","2023-02-18","2023-02-18","VMI vs The Citadel","VA","","","2","971531143","The Citadel","971542143","VMI","VA","12","971531143","The Citadel","SC","20","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6695150132&teamId={TEAM_ID}"
"59","tournament_event","6697390132","6697390132","","I","individual","2023-02-18","2023-02-18","NAIA American Midwest Conference","WI","P","683847132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6697390132&teamId={TEAM_ID}"
"60","tournament_event","6695197132","6695197132","","I","individual","2023-02-18","2023-02-18","Regional Tournament","CO","P","697150132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6695197132&teamId={TEAM_ID}"
"61","standalone_dual","6695113132","","6695113132","","standalone_dual","2023-02-18","2023-02-18","Pittsburgh vs Duke","PA","","","1","971503143","Pittsburgh","971503143","Pittsburgh","PA","43","971408143","Duke","NC","3","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6695113132&teamId={TEAM_ID}"
"62","standalone_dual","6699588132","","6699588132","","standalone_dual","2023-02-18","2023-02-18","Hofstra vs California Baptist","NY","","","1","971423143","Hofstra","971423143","Hofstra","NY","21","971378143","California Baptist","CA","15","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6699588132&teamId={TEAM_ID}"
"63","standalone_dual","6879200132","","6879200132","","standalone_dual","2023-02-18","2023-02-18","Gardner-Webb vs Davidson","NC","","","1","971418143","Gardner-Webb","971418143","Gardner-Webb","NC","34","971404143","Davidson","NC","4","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6879200132&teamId={TEAM_ID}"
"64","standalone_dual","6701615132","","6701615132","","standalone_dual","2023-02-18","2023-02-18","Ohio State vs Cornell","OH","","","1","971491143","Ohio State","971491143","Ohio State","OH","22","971401143","Cornell","NY","14","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6701615132&teamId={TEAM_ID}"
"65","standalone_dual","6700517132","","6700517132","","standalone_dual","2023-02-18","2023-02-18","Drexel vs Cleveland State","PA","","","1","971406143","Drexel","971406143","Drexel","PA","27","971390143","Cleveland State","OH","15","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6700517132&teamId={TEAM_ID}"
"66","standalone_dual","6695480132","","6695480132","","standalone_dual","2023-02-18","2023-02-18","Buffalo vs Ohio","NY","","","1","971376143","Buffalo","971376143","Buffalo","NY","22","971489143","Ohio","OH","17","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6695480132&teamId={TEAM_ID}"
"67","standalone_dual","6697492132","","6697492132","","standalone_dual","2023-02-17","2023-02-17","Maryland vs Binghamton","MD","","","1","971449143","Maryland","971449143","Maryland","MD","19","971369143","Binghamton","NY","12","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6697492132&teamId={TEAM_ID}"
"68","standalone_dual","6723601132","","6723601132","","standalone_dual","2023-02-17","2023-02-17","Harvard vs Brown","MA","","","1","971421143","Harvard","971421143","Harvard","MA","32","971373143","Brown","RI","10","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6723601132&teamId={TEAM_ID}"
"69","standalone_dual","6705227132","","6705227132","","standalone_dual","2023-02-17","2023-02-17","Minnesota State Mankato vs Upper Iowa","MN","","","2","971537143","Upper Iowa","971461143","Minnesota State Mankato","MN","14","971537143","Upper Iowa","IA","21","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6705227132&teamId={TEAM_ID}"
"70","standalone_dual","6712207132","","6712207132","","standalone_dual","2023-02-17","2023-02-17","Chattanooga vs Bellarmine","TN","","","1","971387143","Chattanooga","971387143","Chattanooga","TN","32","971336143","Bellarmine","KY","8","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6712207132&teamId={TEAM_ID}"
"71","standalone_dual","6718279132","","6718279132","","standalone_dual","2023-02-17","2023-02-17","American vs Binghamton","DC","","","2","971369143","Binghamton","971357143","American","DC","13","971369143","Binghamton","NY","19","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6718279132&teamId={TEAM_ID}"
"72","standalone_dual","6697970132","","6697970132","","standalone_dual","2023-02-17","2023-02-17","Central Michigan vs Michigan State","MI","","","2","971457143","Michigan State","971383143","Central Michigan","MI","13","971457143","Michigan State","MI","20","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6697970132&teamId={TEAM_ID}"
"73","standalone_dual","6698234132","","6698234132","","standalone_dual","2023-02-17","2023-02-17","Cal Poly vs Stanford","CA","","","1","971377143","Cal Poly","971377143","Cal Poly","CA","18","971527143","Stanford","CA","15","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6698234132&teamId={TEAM_ID}"
"74","standalone_dual","6696660132","","6696660132","","standalone_dual","2023-02-17","2023-02-17","North Carolina vs NC State","NC","","","2","971478143","NC State","971477143","North Carolina","NC","6","971478143","NC State","NC","28","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6696660132&teamId={TEAM_ID}"
"75","standalone_dual","6696025132","","6696025132","","standalone_dual","2023-02-17","2023-02-17","Bucknell vs Princeton","PA","","","2","971506143","Princeton","971374143","Bucknell","PA","12","971506143","Princeton","NJ","22","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6696025132&teamId={TEAM_ID}"
"76","standalone_dual","6695268132","","6695268132","","standalone_dual","2023-02-17","2023-02-17","Bloomsburg vs Edinboro","PA","","","2","971410143","Edinboro","971370143","Bloomsburg","PA","18","971410143","Edinboro","PA","23","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6695268132&teamId={TEAM_ID}"
"77","standalone_dual","6696818132","","6696818132","","standalone_dual","2023-02-17","2023-02-17","Rider vs George Mason","NJ","","","1","971509143","Rider","971509143","Rider","NJ","27","971419143","George Mason","VA","9","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6696818132&teamId={TEAM_ID}"
"78","standalone_dual","6699320132","","6699320132","","standalone_dual","2023-02-17","2023-02-17","Pennsylvania College of Technology vs Scranton","PA","","","2","971568143","Scranton","971567143","Pennsylvania College of Technology","PA","21","971568143","Scranton","PA","27","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6699320132&teamId={TEAM_ID}"
"79","standalone_dual","6698673132","","6698673132","","standalone_dual","2023-02-17","2023-02-17","Wilkes vs King`s (PA)","PA","","","1","971554143","Wilkes","971554143","Wilkes","PA","26","971436143","King`s (PA)","PA","14","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6698673132&teamId={TEAM_ID}"
"80","standalone_dual","6696427132","","6696427132","","standalone_dual","2023-02-17","2023-02-17","West Virginia vs Clarion","WV","","","1","971550143","West Virginia","971550143","West Virginia","WV","24","971389143","Clarion","PA","18","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6696427132&teamId={TEAM_ID}"
"81","standalone_dual","6700905132","","6700905132","","standalone_dual","2023-02-17","2023-02-17","Virginia Tech vs Virginia","VA","","","1","971541143","Virginia Tech","971541143","Virginia Tech","VA","33","971540143","Virginia","VA","3","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6700905132&teamId={TEAM_ID}"
"82","tournament_event","6697888132","6697888132","","I","individual","2023-02-16","2023-02-16","Thursday Throw Down","PA","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6697888132&teamId={TEAM_ID}"
"83","standalone_dual","6695639132","","6695639132","","standalone_dual","2023-02-16","2023-02-16","St. Cloud State vs Southwest Minnesota State","MN","","","1","971524143","St. Cloud State","971524143","St. Cloud State","MN","48","971522143","Southwest Minnesota State","MN","0","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6695639132&teamId={TEAM_ID}"
"84","standalone_dual","6695267132","","6695267132","","standalone_dual","2023-02-16","2023-02-16","Lock Haven vs Edinboro","PA","","","1","971443143","Lock Haven","971443143","Lock Haven","PA","29","971410143","Edinboro","PA","9","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6695267132&teamId={TEAM_ID}"
"85","standalone_dual","7066316132","","7066316132","","standalone_dual","2023-02-16","2023-02-16","Oklahoma State vs Oklahoma","OK","","","1","971494143","Oklahoma State","971494143","Oklahoma State","OK","26","971493143","Oklahoma","OK","6","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7066316132&teamId={TEAM_ID}"
"86","standalone_dual","6934532132","","6934532132","","standalone_dual","2023-02-16","2023-02-16","Arizona State vs CSU Bakersfield","AZ","","","1","971361143","Arizona State","971361143","Arizona State","AZ","42","971403143","CSU Bakersfield","CA","0","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6934532132&teamId={TEAM_ID}"
"87","standalone_dual","7035868132","","7035868132","","standalone_dual","2023-02-15","2023-02-15","Ithaca vs Cortland State","NY","","","1","971430143","Ithaca","971430143","Ithaca","NY","23","971529143","Cortland State","NY","18","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7035868132&teamId={TEAM_ID}"
"88","standalone_dual","7035836132","","7035836132","","standalone_dual","2023-02-15","2023-02-15","New England College vs Plymouth State","NH","","","2","971505143","Plymouth State","971342143","New England College","NH","24","971505143","Plymouth State","NH","26","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7035836132&teamId={TEAM_ID}"
"89","standalone_dual","6769076132","","6769076132","","standalone_dual","2023-02-15","2023-02-15","Duke vs Gardner-Webb","NC","","","2","971418143","Gardner-Webb","971408143","Duke","NC","10","971418143","Gardner-Webb","NC","30","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=6769076132&teamId={TEAM_ID}"
