winner_name_raw,loser_name_raw,winner_school_raw,loser_school_raw,winner_class_year_raw,loser_class_year_raw,weight_class,victory_type,round_label,round_sort_key,level,event_name,event_series_name,event_type,event_id_external,date_start_raw,date_end_raw,occurred_at,source_match_id,extraction_confidence,score,time_seconds
Weston Pisarchick,Travis Clawson,Clarion,Clarion,Fr.,Fr.,125,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931502132,1.0,5-2,
Vinny Kilkeary,Travis Clawson,Ohio State,Clarion,So.,Fr.,125,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931576132,1.0,8-4,
Weston Pisarchick,Jack Bergman,Clarion,Navy,Fr.,Fr.,125,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931656132,1.0,6-3,
Weston Pisarchick,Major Lewis,Clarion,Bloomsburg,Fr.,So.,125,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931855132,1.0,5-1,
Robert Gardner,Isaac Hampton,Clarion,Navy,Jr.,Fr.,125,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931647132,1.0,4-1,
Robert Gardner,Jack Silfies,Clarion,Unrostered,Jr.,,125,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931753132,1.0,9-1,
Travis Clawson,Micah medina,Clarion,Bellarmine,Fr.,So.,125,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931757132,1.0,17-2,259
Travis Clawson,Caleb Edwards,Clarion,Edinboro,Fr.,Sr.,125,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931847132,1.0,,374
Jack Parker,Weston Pisarchick,Bellarmine,Clarion,Sr.,Fr.,125,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931464132,1.0,,180
Weston Pisarchick,Robert Gardner,Clarion,Clarion,Fr.,Jr.,125,Sudden Victory - 3,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931569132,1.0,6-3,
Matt Marlow,Weston Pisarchick,Pittsburgh,Clarion,Fr.,Fr.,125,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931756132,1.0,19-3,370
Shay Korhorn,Robert Gardner,Bellarmine,Clarion,Jr.,Jr.,125,Sudden Victory - 3,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931851132,1.0,4-1,
Maximilian Leete,Isaac Williams,American,Clarion,Sr.,Fr.,133,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931577132,1.0,,25
Nic Bouzakis,Joey Fischer,Ohio State,Clarion,Jr.,Sr.,133,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931470132,1.0,14-2,
Joey Fischer,Trayce Eckman,Clarion,Bellarmine,Sr.,Jr.,133,Sudden Victory - 3,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931578132,1.0,4-1,
Joey Fischer,Troy Guerra,Clarion,Buffalo,Sr.,RS So.,133,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931746132,1.0,17-2,407
Mason Prinkey,Elijah Whiatker,Clarion,Unrostered- Coatesville,Sr.,,133,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931849132,1.0,15-0,96
Joey Fischer,Colton Camacho,Clarion,Edinboro,Sr.,RS Sr.,133,Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931428132,1.0,11-10,
Maximilian Leete,Mason Prinkey,American,Clarion,Sr.,Sr.,133,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931469132,1.0,,23
Ben Davino,Mason Prinkey,Ohio State,Clarion,Fr.,Sr.,133,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931575132,1.0,19-3,312
Mason Prinkey,Hunter Heflin,Clarion,Navy,Sr.,Fr.,133,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931743132,1.0,,112
Colton Camacho,Scott Johnson,Edinboro,Clarion,RS Sr.,So.,133,Major Decision,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931564132,1.0,20-11,
Scott Johnson,Tyson Cook,Clarion,Unattached- UPJ,So.,,133,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931739132,1.0,17-2,412
Scott Johnson,Nikolas Massaro,Clarion,Buffalo,So.,Fr.,133,Technical Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931848132,1.0,16-0,259
Isaac Williams,Elijah Whiatker,Clarion,Unrostered- Coatesville,Fr.,,133,Fall,,,Varsity,Clarion Open,Clarion Open,tournament,8092401132,20241103,20241103,1730592000000,57931648132,1.0,,252
