team_name,state,team_id
Air Force,CO,431541143
American,DC,431545143
Appalachian State,NC,431547143
Arizona State,AZ,431549143
Army West Point,NY,431550143
Bellarmine,KY,431526143
Binghamton,NY,431557143
Bloomsburg,PA,431558143
Brown,RI,431561143
Bucknell,PA,431562143
Buffalo,NY,431564143
Cal Poly,CA,431565143
Campbell,NC,431567143
Central Michigan,MI,431571143
Chattanooga,TN,431575143
Columbia,NY,431586143
Cornell,NY,431589143
CSU Bakersfield,CA,431591143
Davidson,NC,431592143
Drexel,PA,431594143
Duke,NC,431596143
Edinboro,PA,431598143
Franklin & Marshall,PA,431604143
Gardner-Webb,NC,431606143
George Mason,VA,431607143
Harvard,MA,431609143
Hofstra,NY,431611143
Illinois,IL,431613143
Indiana,IN,431614143
Iowa,IA,431616143
Iowa State,IA,431617143
Kent State,OH,431622143
Lehigh,PA,431628143
Little Rock,AR,431539143
Lock Haven,PA,431631143
Maryland,MD,431637143
Michigan,MI,431644143
Michigan State,MI,431645143
Minnesota,MN,431648143
Missouri,MO,431652143
Morgan State,MD,432306143
Navy,MD,431657143
NC State,NC,431666143
Nebraska,NE,431659143
North Carolina,NC,431665143
North Dakota State,ND,431669143
Northern Colorado,CO,431670143
Northern Illinois,IL,431671143
Northern Iowa,IA,431672143
Northwestern,IL,431674143
Ohio,OH,431677143
Ohio State,OH,431679143
Oklahoma,OK,431680143
Oklahoma State,OK,431681143
Oregon State,OR,431684143
Penn State,PA,431687143
Pittsburgh,PA,431689143
Princeton,NJ,431692143
Purdue,IN,431693143
Rider,NJ,431695143
Rutgers,NJ,431698143
SIU Edwardsville,IL,431706143
South Dakota State,SD,431705143
Stanford,CA,431712143
The Citadel,SC,431716143
Utah Valley,UT,431724143
Virginia,VA,431725143
Virginia Tech,VA,431726143
VMI,VA,431727143
West Virginia,WV,431735143
Wisconsin,WI,431741143
Wyoming,WY,431750143
Penn,PA,431688143
California Baptist,CA,431566143
Clarion,PA,431577143
Cleveland State,OH,431578143
LIU,NY,431755143
Presbyterian College,SC,431761143
Sacred Heart,CT,431699143
