"source_index","record_type","primary_id","event_id","dual_id","format_code","format_label","start_date","end_date","event_name","location_state","tournament_system","tournament_id","winner_side","winner_team_id","winner_team_name","team_1_id","team_1_name","team_1_state","team_1_score","team_2_id","team_2_name","team_2_state","team_2_score","season_id","results_url_template"
"0","tournament_event","6427179132","6427179132","","I","individual","2022-03-17","2022-03-19","NCAA Division I Championships","MI","P","632767132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6427179132&teamId={TEAM_ID}"
"1","tournament_event","6427180132","6427180132","","I","individual","2022-03-11","2022-03-12","NCAA Division III Championships","IA","P","602376132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6427180132&teamId={TEAM_ID}"
"2","tournament_event","6427183132","6427183132","","I","individual","2022-03-11","2022-03-12","NCAA Division II Championships","MO","P","632766132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6427183132&teamId={TEAM_ID}"
"3","tournament_event","6603849132","6603849132","","I","individual","2022-03-05","2022-03-06","2022 Big Ten Wrestling Championships","NE","P","659853132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6603849132&teamId={TEAM_ID}"
"4","tournament_event","6573266132","6573266132","","I","individual","2022-03-05","2022-03-06","2022 Big Ten Wrestling Championships","NE","P","663998132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6573266132&teamId={TEAM_ID}"
"5","tournament_event","6428894132","6428894132","","I","individual","2022-03-06","2022-03-06","ACC Championships","VA","P","653309132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6428894132&teamId={TEAM_ID}"
"6","tournament_event","6633896132","6633896132","","I","individual","2022-03-05","2022-03-06","2022 EIWA Championships","NY","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6633896132&teamId={TEAM_ID}"
"7","tournament_event","6603848132","6603848132","","I","individual","2022-03-05","2022-03-06","2022 Big 12 Championships","OK","P","663928132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6603848132&teamId={TEAM_ID}"
"8","tournament_event","6541717132","6541717132","","I","individual","2022-03-06","2022-03-06","Pac 12 Championships","AZ","P","659781132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6541717132&teamId={TEAM_ID}"
"9","tournament_event","6497579132","6497579132","","I","individual","2022-03-04","2022-03-05","2022 NAIA National Championships","KS","O","633466132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=6497579132&teamId={TEAM_ID}"
