"source_index","record_type","primary_id","event_id","dual_id","format_code","format_label","start_date","end_date","event_name","location_state","tournament_system","tournament_id","winner_side","winner_team_id","winner_team_name","team_1_id","team_1_name","team_1_state","team_1_score","team_2_id","team_2_name","team_2_state","team_2_score","season_id","results_url_template"
"29","tournament_event","8999687132","8999687132","","I","individual","2026-02-27","2026-02-28","NCAA DIII Region IV","OH","P","966171132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8999687132&teamId={TEAM_ID}"
"30","tournament_event","8987568132","8987568132","","I","individual","2026-02-28","2026-02-28","NCAA DII Super Regional IV","OK","P","933753132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8987568132&teamId={TEAM_ID}"
"31","standalone_dual","9034434132","","9034434132","","standalone_dual","2026-02-23","2026-02-23","Presbyterian vs VMI","SC","","","2","758939150","VMI","758975150","Presbyterian","SC","13","758939150","VMI","VA","32","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=9034434132&teamId={TEAM_ID}"
"32","tournament_event","8703849132","8703849132","","I","individual","2026-02-22","2026-02-22","Patriots Last Chance Open","VA","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8703849132&teamId={TEAM_ID}"
"33","tournament_event","8708032132","8708032132","","I","individual","2026-02-22","2026-02-22","Wildcat Open","NC","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8708032132&teamId={TEAM_ID}"
"34","tournament_event","8707749132","8707749132","","I","individual","2026-02-22","2026-02-22","California Last Chance Open","CA","O","961443132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8707749132&teamId={TEAM_ID}"
"35","standalone_dual","8721686132","","8721686132","","standalone_dual","2026-02-22","2026-02-22","South Dakota State vs North Dakota State","SD","","","2","758881150","North Dakota State","758917150","South Dakota State","SD","13","758881150","North Dakota State","ND","20","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8721686132&teamId={TEAM_ID}"
"36","tournament_event","9002384132","9002384132","","I","individual","2026-02-22","2026-02-22","Super Region I Futures Open","PA","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=9002384132&teamId={TEAM_ID}"
"37","tournament_event","8709995132","8709995132","","I","individual","2026-02-22","2026-02-22","Super Region I Futures","PA","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8709995132&teamId={TEAM_ID}"
"38","tournament_event","8999722132","8999722132","","I","individual","2026-02-22","2026-02-22","2026 Futures","PA","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8999722132&teamId={TEAM_ID}"
"39","standalone_dual","8707450132","","8707450132","","standalone_dual","2026-02-22","2026-02-22","The Citadel vs VMI","SC","","","1","758928150","The Citadel","758928150","The Citadel","SC","34","758939150","VMI","VA","11","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8707450132&teamId={TEAM_ID}"
"40","standalone_dual","8707971132","","8707971132","","standalone_dual","2026-02-22","2026-02-22","Duke vs Cornell","NC","","","2","758803150","Cornell","758810150","Duke","NC","4","758803150","Cornell","NY","42","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=8707971132&teamId={TEAM_ID}"
