"source_index","record_type","primary_id","event_id","dual_id","format_code","format_label","start_date","end_date","event_name","location_state","tournament_system","tournament_id","winner_side","winner_team_id","winner_team_name","team_1_id","team_1_name","team_1_state","team_1_score","team_2_id","team_2_name","team_2_state","team_2_score","season_id","results_url_template"
"0","tournament_event","7929025132","7929025132","","I","individual","2024-03-21","2024-03-23","2024 NCAA Division I Championships","MO","P","771443132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7929025132&teamId={TEAM_ID}"
"1","tournament_event","7929022132","7929022132","","I","individual","2024-03-15","2024-03-16","2024 NCAA Division II Wrestling Championships","IA","P","771450132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7929022132&teamId={TEAM_ID}"
"2","tournament_event","7929024132","7929024132","","I","individual","2024-03-15","2024-03-16","2024 NCAA Division III Wrestling Championships","WI","P","771457132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7929024132&teamId={TEAM_ID}"
"3","tournament_event","7787247132","7787247132","","I","individual","2024-03-10","2024-03-10","2024 ACC Wrestling Championships","NC","P","815457132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7787247132&teamId={TEAM_ID}"
"4","tournament_event","7933259132","7933259132","","I","individual","2024-03-10","2024-03-10","PAC 12 Championships","OR","P","843899132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7933259132&teamId={TEAM_ID}"
"5","tournament_event","8059148132","8059148132","","I","individual","2024-03-09","2024-03-10","2024 Big Ten Wrestling Championships","MD","P","825871132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8059148132&teamId={TEAM_ID}"
"6","tournament_event","8059147132","8059147132","","I","individual","2024-03-09","2024-03-10","2024 Big 12 Championships","OK","P","848140132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8059147132&teamId={TEAM_ID}"
"7","tournament_event","7613255132","7613255132","","I","individual","2024-03-09","2024-03-09","2024 Southern Conference Championship","NC","P","794933132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7613255132&teamId={TEAM_ID}"
"8","tournament_event","7433616132","7433616132","","I","individual","2024-03-08","2024-03-09","EIWA Championship","PA","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7433616132&teamId={TEAM_ID}"
"9","tournament_event","7878830132","7878830132","","I","individual","2024-03-08","2024-03-09","Mid American Conference Championship","OH","P","830507132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7878830132&teamId={TEAM_ID}"
"10","tournament_event","7929021132","7929021132","","I","individual","2024-03-02","2024-03-03","NCAA DIII Regional Northeast","MA","P","771455132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7929021132&teamId={TEAM_ID}"
"11","tournament_event","7873778132","7873778132","","I","individual","2024-03-03","2024-03-03","Zingo Nationals","NJ","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7873778132&teamId={TEAM_ID}"
"12","tournament_event","8059326132","8059326132","","I","individual","2024-03-03","2024-03-03","2024 NCWA Mid-Atlantic Conf Championship","VA","P","848235132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8059326132&teamId={TEAM_ID}"
"13","tournament_event","7967382132","7967382132","","I","individual","2024-03-03","2024-03-03","NCWA SE Conference 2023-2024","FL","O","835664132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7967382132&teamId={TEAM_ID}"
"14","tournament_event","7929013132","7929013132","","I","individual","2024-03-01","2024-03-02","NCAA DIII Regional Upper Midwest","WI","P","771453132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7929013132&teamId={TEAM_ID}"
"15","tournament_event","7929011132","7929011132","","I","individual","2024-03-01","2024-03-02","NCAA DIII Regional Mideast","NY","P","771452132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7929011132&teamId={TEAM_ID}"
"16","tournament_event","7929017132","7929017132","","I","individual","2024-03-02","2024-03-02","NCAA DII Super Regional IV","IN","P","771447132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7929017132&teamId={TEAM_ID}"
"17","tournament_event","8059322132","8059322132","","I","individual","2024-03-02","2024-03-02","2024 NCWA Great Lakes Conf Championship","KY","P","848234132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8059322132&teamId={TEAM_ID}"
"18","tournament_event","7929016132","7929016132","","I","individual","2024-03-02","2024-03-02","NCAA DII Super Regional III","WV","P","771446132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7929016132&teamId={TEAM_ID}"
"19","tournament_event","7929014132","7929014132","","I","individual","2024-03-02","2024-03-02","NCAA DII Super Regional I","PA","P","771444132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7929014132&teamId={TEAM_ID}"
"20","tournament_event","7929010132","7929010132","","I","individual","2024-03-01","2024-03-02","NCAA DIII Regional Central","OH","P","771451132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7929010132&teamId={TEAM_ID}"
"21","tournament_event","7929015132","7929015132","","I","individual","2024-03-02","2024-03-02","NCAA DII Super Regional II","SC","P","771445132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7929015132&teamId={TEAM_ID}"
"22","tournament_event","7929018132","7929018132","","I","individual","2024-03-02","2024-03-02","NCAA DII Super Regional V","ND","P","771448132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7929018132&teamId={TEAM_ID}"
"23","tournament_event","7929012132","7929012132","","I","individual","2024-03-01","2024-03-02","NCAA DIII Regional Southeast","PA","P","771456132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7929012132&teamId={TEAM_ID}"
"24","tournament_event","7966051132","7966051132","","I","individual","2024-03-02","2024-03-02","2024 NCWA SWC Tournament ","TX","O","835470132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7966051132&teamId={TEAM_ID}"
"25","tournament_event","7929020132","7929020132","","I","individual","2024-03-02","2024-03-02","NCAA DII Super Regional VI","CO","P","771449132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7929020132&teamId={TEAM_ID}"
"26","tournament_event","7929009132","7929009132","","I","individual","2024-02-29","2024-03-01","NCAA DIII Regional Lower Midwest","IA","P","771454132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7929009132&teamId={TEAM_ID}"
"27","standalone_dual","7474981132","","7474981132","","standalone_dual","2024-02-25","2024-02-25","Penn State vs Edinboro","PA","","","1","431687143","Penn State","431687143","Penn State","PA","55","431598143","Edinboro","PA","0","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7474981132&teamId={TEAM_ID}"
"28","tournament_event","7475477132","7475477132","","I","individual","2024-02-25","2024-02-25","MidEast Futures","NJ","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7475477132&teamId={TEAM_ID}"
"29","tournament_event","8028737132","8028737132","","I","individual","2024-02-25","2024-02-25","2024 National Collegiate Open","DE","P","843968132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8028737132&teamId={TEAM_ID}"
"30","tournament_event","7431713132","7431713132","","I","individual","2024-02-25","2024-02-25","NEWA FUTURES","MA","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7431713132&teamId={TEAM_ID}"
"31","standalone_dual","7916584132","","7916584132","","standalone_dual","2024-02-25","2024-02-25","South Dakota State vs North Dakota State","SD","","","1","431705143","South Dakota State","431705143","South Dakota State","SD","34","431669143","North Dakota State","ND","6","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7916584132&teamId={TEAM_ID}"
"32","tournament_event","7874793132","7874793132","","I","individual","2024-02-25","2024-02-25","Wildcat Open ","NC","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7874793132&teamId={TEAM_ID}"
"33","tournament_event","7429827132","7429827132","","I","individual","2024-02-25","2024-02-25","Patriots Last Chance Open","VA","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7429827132&teamId={TEAM_ID}"
"34","tournament_event","7429119132","7429119132","","D","dual_tournament","2024-02-25","2024-02-25","Columbia & Army","NY","","","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7429119132&teamId={TEAM_ID}"
"35","standalone_dual","7515152132","","7515152132","","standalone_dual","2024-02-25","2024-02-25","Oklahoma State vs Iowa","OK","","","2","431616143","Iowa","431681143","Oklahoma State","OK","9","431616143","Iowa","IA","22","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7515152132&teamId={TEAM_ID}"
"36","standalone_dual","7997691132","","7997691132","","standalone_dual","2024-02-25","2024-02-25","Northern Iowa vs Wisconsin","IA","","","1","431672143","Northern Iowa","431672143","Northern Iowa","IA","27","431741143","Wisconsin","WI","11","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7997691132&teamId={TEAM_ID}"
"37","standalone_dual","7430068132","","7430068132","","standalone_dual","2024-02-25","2024-02-25","Lindenwood vs Little Rock","MO","","","2","431539143","Little Rock","431630143","Lindenwood","MO","0","431539143","Little Rock","AR","57","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7430068132&teamId={TEAM_ID}"
"38","standalone_dual","7429504132","","7429504132","","standalone_dual","2024-02-25","2024-02-25","Iowa State vs Missouri","IA","","","1","431617143","Iowa State","431617143","Iowa State","IA","41","431652143","Missouri","MO","3","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7429504132&teamId={TEAM_ID}"
"39","standalone_dual","7520091132","","7520091132","","standalone_dual","2024-02-25","2024-02-25","Cornell vs Binghamton","NY","","","1","431589143","Cornell","431589143","Cornell","NY","33","431557143","Binghamton","NY","6","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7520091132&teamId={TEAM_ID}"
"40","standalone_dual","7430340132","","7430340132","","standalone_dual","2024-02-25","2024-02-25","Columbia vs American","NY","","","1","431586143","Columbia","431586143","Columbia","NY","39","431545143","American","DC","3","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7430340132&teamId={TEAM_ID}"
"41","standalone_dual","7429652132","","7429652132","","standalone_dual","2024-02-25","2024-02-25","Central Michigan vs Michigan","MI","","","2","431644143","Michigan","431571143","Central Michigan","MI","0","431644143","Michigan","MI","39","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7429652132&teamId={TEAM_ID}"
"42","standalone_dual","7433140132","","7433140132","","standalone_dual","2024-02-25","2024-02-25","Appalachian State vs Gardner-Webb","NC","","","1","431547143","Appalachian State","431547143","Appalachian State","NC","45","431606143","Gardner-Webb","NC","3","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7433140132&teamId={TEAM_ID}"
"43","standalone_dual","7429222132","","7429222132","","standalone_dual","2024-02-25","2024-02-25","Arizona State vs Nebraska","AZ","","","2","431659143","Nebraska","431549143","Arizona State","AZ","9","431659143","Nebraska","NE","26","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7429222132&teamId={TEAM_ID}"
"44","standalone_dual","7429718132","","7429718132","","standalone_dual","2024-02-24","2024-02-24","Ohio vs Buffalo","OH","","","2","431564143","Buffalo","431677143","Ohio","OH","9","431564143","Buffalo","NY","27","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7429718132&teamId={TEAM_ID}"
"45","standalone_dual","7433566132","","7433566132","","standalone_dual","2024-02-24","2024-02-24","Dubuque vs Simpson","IA","","","1","431595143","Dubuque","431595143","Dubuque","IA","40","431704143","Simpson","IA","3","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7433566132&teamId={TEAM_ID}"
"46","standalone_dual","7430933132","","7430933132","","standalone_dual","2024-02-24","2024-02-24","Drexel vs Hofstra","PA","","","1","431594143","Drexel","431594143","Drexel","PA","24","431611143","Hofstra","NY","9","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7430933132&teamId={TEAM_ID}"
"47","standalone_dual","7429851132","","7429851132","","standalone_dual","2024-02-24","2024-02-24","Arizona State vs Lehigh","AZ","","","1","431549143","Arizona State","431549143","Arizona State","AZ","24","431628143","Lehigh","PA","14","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7429851132&teamId={TEAM_ID}"
"48","standalone_dual","7428943132","","7428943132","","standalone_dual","2024-02-24","2024-02-24","Brown vs Sacred Heart","RI","","","1","431561143","Brown","431561143","Brown","RI","40","431699143","Sacred Heart","CT","6","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7428943132&teamId={TEAM_ID}"
"49","standalone_dual","7465789132","","7465789132","","standalone_dual","2024-02-24","2024-02-24","Pennsylvania College of Technology vs Marymount","PA","","","2","431784143","Marymount","431752143","Pennsylvania College of Technology","PA","20","431784143","Marymount","VA","24","1560238138","https://www.trackwrestling.com/seasons/DualMatches.jsp?seasonId=1560238138&dualId=7465789132&teamId={TEAM_ID}"
"50","tournament_event","7428981132","7428981132","","I","individual","2024-02-24","2024-02-24","F&M Scramble","PA","O","844022132","","","","","","","","","","","","1560238138","https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=7428981132&teamId={TEAM_ID}"
